"resp.id";"ques";"alt";"Brand";"Price";"RAMGB";"Foldable";"CameraQuality";"choice"
1;1;1;"Xiaomi";"LowerMid-range";"Low";"Yes";"Low";0
1;1;2;"Xiaomi";"LowerMid-range";"Mid-range";"No";"Low";0
1;1;3;"Huawei";"LowerMid-range";"LowerMid-range";"No";"Low";0
1;1;4;"Poco";"Mid-range";"High-end";"No";"Low";1
1;2;1;"OnePlus";"Mid-range";"Mid-range";"No";"Medium";1
1;2;2;"Xiaomi";"Mid-range";"Low";"No";"Medium";0
1;2;3;"OnePlus";"Budget";"LowerMid-range";"Yes";"High";0
1;2;4;"OnePlus";"Premium";"Mid-range";"No";"Medium";0
1;3;1;"Xiaomi";"Budget";"LowerMid-range";"No";"High";0
1;3;2;"Huawei";"Budget";"High-end";"Yes";"Medium";1
1;3;3;"Huawei";"LowerMid-range";"Low";"No";"High";0
1;3;4;"Huawei";"Mid-range";"Low";"No";"Low";0
1;4;1;"Poco";"LowerMid-range";"Mid-range";"Yes";"Low";0
1;4;2;"Xiaomi";"Mid-range";"LowerMid-range";"No";"High";1
1;4;3;"OnePlus";"Mid-range";"Low";"Yes";"Low";0
1;4;4;"OnePlus";"Premium";"LowerMid-range";"Yes";"Low";0
1;5;1;"Xiaomi";"Mid-range";"Mid-range";"Yes";"Low";0
1;5;2;"Xiaomi";"LowerMid-range";"High-end";"Yes";"Medium";0
1;5;3;"OnePlus";"LowerMid-range";"LowerMid-range";"Yes";"Low";1
1;5;4;"OnePlus";"Mid-range";"LowerMid-range";"No";"Medium";0
1;6;1;"Huawei";"Budget";"Low";"Yes";"Medium";1
1;6;2;"Poco";"LowerMid-range";"LowerMid-range";"Yes";"Medium";0
1;6;3;"OnePlus";"Premium";"Low";"No";"Medium";0
1;6;4;"Huawei";"LowerMid-range";"LowerMid-range";"Yes";"Low";0
1;7;1;"Poco";"Mid-range";"Low";"Yes";"Low";0
1;7;2;"Xiaomi";"Budget";"Low";"Yes";"Low";0
1;7;3;"Xiaomi";"Premium";"Low";"Yes";"Low";0
1;7;4;"OnePlus";"UpperMid-range";"High-end";"No";"High";1
1;8;1;"OnePlus";"UpperMid-range";"Mid-range";"Yes";"Low";0
1;8;2;"OnePlus";"LowerMid-range";"Mid-range";"Yes";"Low";0
1;8;3;"Xiaomi";"Budget";"Low";"No";"Medium";0
1;8;4;"Poco";"UpperMid-range";"High-end";"Yes";"Low";1
1;9;1;"Huawei";"Premium";"Low";"No";"Medium";0
1;9;2;"Xiaomi";"Premium";"Low";"No";"Medium";0
1;9;3;"Xiaomi";"Premium";"Mid-range";"Yes";"Low";1
1;9;4;"Xiaomi";"Mid-range";"Mid-range";"Yes";"Medium";0
1;10;1;"OnePlus";"Budget";"Low";"Yes";"Low";0
1;10;2;"Xiaomi";"UpperMid-range";"High-end";"No";"Low";1
1;10;3;"Poco";"LowerMid-range";"LowerMid-range";"No";"Medium";0
1;10;4;"Poco";"Premium";"High-end";"Yes";"Low";0
1;11;1;"Xiaomi";"Premium";"High-end";"Yes";"High";0
1;11;2;"Poco";"Premium";"High-end";"No";"Low";1
1;11;3;"Huawei";"LowerMid-range";"Low";"Yes";"Low";0
1;11;4;"Poco";"UpperMid-range";"Mid-range";"Yes";"Medium";0
1;12;1;"OnePlus";"Budget";"Mid-range";"No";"Low";0
1;12;2;"Poco";"Budget";"LowerMid-range";"No";"Low";1
1;12;3;"Huawei";"Mid-range";"LowerMid-range";"Yes";"Medium";0
1;12;4;"Xiaomi";"LowerMid-range";"High-end";"Yes";"High";0
1;13;1;"Huawei";"Mid-range";"LowerMid-range";"No";"Medium";0
1;13;2;"Xiaomi";"LowerMid-range";"Low";"No";"High";0
1;13;3;"OnePlus";"Mid-range";"LowerMid-range";"Yes";"High";0
1;13;4;"Xiaomi";"LowerMid-range";"Mid-range";"Yes";"High";1
1;14;1;"Huawei";"Premium";"Mid-range";"Yes";"Medium";0
1;14;2;"Huawei";"Premium";"Mid-range";"Yes";"High";0
1;14;3;"Poco";"UpperMid-range";"LowerMid-range";"No";"Medium";0
1;14;4;"Poco";"Budget";"LowerMid-range";"No";"Medium";1
1;15;1;"Poco";"Budget";"Low";"Yes";"High";0
1;15;2;"Poco";"LowerMid-range";"High-end";"No";"High";1
1;15;3;"OnePlus";"Budget";"High-end";"No";"High";0
1;15;4;"Huawei";"UpperMid-range";"Low";"Yes";"Medium";0
2;16;1;"Poco";"UpperMid-range";"LowerMid-range";"No";"High";1
2;16;2;"Huawei";"UpperMid-range";"High-end";"No";"Low";0
2;16;3;"OnePlus";"Budget";"High-end";"Yes";"High";0
2;16;4;"Xiaomi";"LowerMid-range";"Low";"Yes";"Medium";0
2;17;1;"Xiaomi";"Premium";"High-end";"Yes";"Low";0
2;17;2;"Poco";"LowerMid-range";"Mid-range";"No";"Low";0
2;17;3;"Xiaomi";"UpperMid-range";"Low";"No";"High";0
2;17;4;"Huawei";"Budget";"High-end";"No";"Medium";1
2;18;1;"OnePlus";"Mid-range";"Mid-range";"No";"Medium";0
2;18;2;"OnePlus";"LowerMid-range";"LowerMid-range";"No";"Low";0
2;18;3;"Xiaomi";"Mid-range";"LowerMid-range";"Yes";"High";1
2;18;4;"Xiaomi";"Mid-range";"Low";"Yes";"High";0
2;19;1;"Huawei";"Mid-range";"High-end";"Yes";"Medium";0
2;19;2;"OnePlus";"Mid-range";"High-end";"Yes";"Low";0
2;19;3;"Xiaomi";"Premium";"Mid-range";"No";"High";0
2;19;4;"OnePlus";"UpperMid-range";"LowerMid-range";"No";"Medium";1
2;20;1;"Huawei";"LowerMid-range";"Low";"No";"Medium";0
2;20;2;"OnePlus";"LowerMid-range";"High-end";"No";"Low";0
2;20;3;"OnePlus";"LowerMid-range";"High-end";"No";"High";1
2;20;4;"Huawei";"UpperMid-range";"LowerMid-range";"Yes";"Medium";0
2;21;1;"Huawei";"Budget";"LowerMid-range";"Yes";"Low";0
2;21;2;"Huawei";"Mid-range";"High-end";"Yes";"High";1
2;21;3;"Huawei";"Premium";"High-end";"Yes";"Medium";0
2;21;4;"OnePlus";"UpperMid-range";"High-end";"No";"High";0
2;22;1;"OnePlus";"Premium";"High-end";"Yes";"Low";1
2;22;2;"Xiaomi";"LowerMid-range";"Low";"Yes";"High";0
2;22;3;"OnePlus";"Mid-range";"High-end";"Yes";"Medium";0
2;22;4;"Xiaomi";"Budget";"Low";"Yes";"Low";0
2;23;1;"Poco";"Budget";"Low";"Yes";"High";0
2;23;2;"OnePlus";"UpperMid-range";"High-end";"Yes";"Medium";0
2;23;3;"OnePlus";"UpperMid-range";"Low";"Yes";"Low";0
2;23;4;"Poco";"UpperMid-range";"LowerMid-range";"Yes";"Low";1
2;24;1;"Huawei";"Premium";"Mid-range";"No";"Medium";0
2;24;2;"Huawei";"Mid-range";"Mid-range";"No";"Low";1
2;24;3;"Xiaomi";"Mid-range";"Low";"Yes";"Low";0
2;24;4;"Poco";"Mid-range";"Mid-range";"Yes";"Medium";0
2;25;1;"Xiaomi";"Premium";"LowerMid-range";"Yes";"Medium";0
2;25;2;"OnePlus";"UpperMid-range";"Mid-range";"Yes";"Low";0
2;25;3;"OnePlus";"UpperMid-range";"Mid-range";"No";"Low";1
2;25;4;"Huawei";"Budget";"Low";"Yes";"Low";0
2;26;1;"Poco";"UpperMid-range";"High-end";"Yes";"High";0
2;26;2;"Huawei";"Budget";"Mid-range";"No";"High";0
2;26;3;"Poco";"UpperMid-range";"LowerMid-range";"No";"Medium";1
2;26;4;"Huawei";"Mid-range";"Mid-range";"Yes";"High";0
2;27;1;"OnePlus";"Budget";"LowerMid-range";"Yes";"Low";1
2;27;2;"Poco";"LowerMid-range";"Low";"Yes";"High";0
2;27;3;"Huawei";"UpperMid-range";"Low";"Yes";"High";0
2;27;4;"OnePlus";"UpperMid-range";"Mid-range";"Yes";"Medium";0
2;28;1;"Huawei";"Mid-range";"LowerMid-range";"No";"Medium";1
2;28;2;"OnePlus";"UpperMid-range";"Mid-range";"No";"Medium";0
2;28;3;"Huawei";"Mid-range";"LowerMid-range";"Yes";"Low";0
2;28;4;"Xiaomi";"Premium";"LowerMid-range";"No";"Medium";0
2;29;1;"Huawei";"Mid-range";"Mid-range";"Yes";"Medium";0
2;29;2;"OnePlus";"LowerMid-range";"Mid-range";"Yes";"Medium";0
2;29;3;"Huawei";"Premium";"High-end";"No";"High";1
2;29;4;"OnePlus";"Mid-range";"LowerMid-range";"Yes";"High";0
2;30;1;"Xiaomi";"Premium";"High-end";"Yes";"High";0
2;30;2;"Poco";"Budget";"Mid-range";"Yes";"Low";0
2;30;3;"Xiaomi";"Mid-range";"LowerMid-range";"No";"Medium";1
2;30;4;"Poco";"Premium";"Low";"Yes";"Low";0
3;31;1;"OnePlus";"Budget";"Low";"No";"Low";0
3;31;2;"OnePlus";"LowerMid-range";"Low";"No";"Medium";0
3;31;3;"Xiaomi";"Mid-range";"Low";"No";"Medium";0
3;31;4;"Poco";"Budget";"High-end";"No";"Medium";1
3;32;1;"Xiaomi";"Budget";"Low";"No";"Medium";0
3;32;2;"Huawei";"Budget";"High-end";"No";"Low";1
3;32;3;"OnePlus";"UpperMid-range";"Low";"No";"Medium";0
3;32;4;"OnePlus";"Premium";"Mid-range";"Yes";"Medium";0
3;33;1;"Huawei";"LowerMid-range";"Mid-range";"Yes";"Low";0
3;33;2;"OnePlus";"Mid-range";"Low";"No";"Low";0
3;33;3;"OnePlus";"LowerMid-range";"Low";"No";"High";0
3;33;4;"Huawei";"Mid-range";"Low";"No";"Medium";1
3;34;1;"OnePlus";"Mid-range";"Mid-range";"No";"Low";1
3;34;2;"OnePlus";"UpperMid-range";"Mid-range";"Yes";"Medium";0
3;34;3;"Huawei";"Budget";"High-end";"No";"High";0
3;34;4;"Huawei";"LowerMid-range";"LowerMid-range";"Yes";"Low";0
3;35;1;"OnePlus";"UpperMid-range";"Mid-range";"No";"Low";0
3;35;2;"Xiaomi";"UpperMid-range";"Low";"No";"Medium";0
3;35;3;"Poco";"LowerMid-range";"Low";"No";"Medium";0
3;35;4;"OnePlus";"LowerMid-range";"Low";"Yes";"Medium";1
3;36;1;"Huawei";"UpperMid-range";"Mid-range";"No";"High";0
3;36;2;"OnePlus";"LowerMid-range";"High-end";"Yes";"High";0
3;36;3;"Xiaomi";"Premium";"Mid-range";"No";"Low";0
3;36;4;"Huawei";"Budget";"High-end";"Yes";"High";1
3;37;1;"Poco";"UpperMid-range";"Low";"No";"Medium";0
3;37;2;"Huawei";"Premium";"LowerMid-range";"Yes";"High";0
3;37;3;"OnePlus";"Premium";"Mid-range";"No";"High";0
3;37;4;"Huawei";"Budget";"Low";"No";"High";1
3;38;1;"Poco";"Mid-range";"Low";"No";"Low";0
3;38;2;"Poco";"Mid-range";"Low";"Yes";"Low";0
3;38;3;"OnePlus";"LowerMid-range";"High-end";"Yes";"Medium";0
3;38;4;"Huawei";"Premium";"LowerMid-range";"Yes";"Low";1
3;39;1;"Poco";"LowerMid-range";"Low";"Yes";"Medium";0
3;39;2;"OnePlus";"Mid-range";"LowerMid-range";"No";"Medium";1
3;39;3;"Xiaomi";"UpperMid-range";"Low";"No";"Low";0
3;39;4;"Huawei";"LowerMid-range";"Mid-range";"No";"High";0
3;40;1;"Poco";"LowerMid-range";"Low";"No";"High";1
3;40;2;"Xiaomi";"Mid-range";"Mid-range";"No";"Low";0
3;40;3;"OnePlus";"Budget";"LowerMid-range";"Yes";"Medium";0
3;40;4;"Xiaomi";"UpperMid-range";"Low";"Yes";"Low";0
3;41;1;"Huawei";"Premium";"Mid-range";"No";"Low";0
3;41;2;"Poco";"LowerMid-range";"LowerMid-range";"No";"Medium";0
3;41;3;"Poco";"Mid-range";"LowerMid-range";"Yes";"High";0
3;41;4;"OnePlus";"UpperMid-range";"High-end";"No";"Low";1
3;42;1;"OnePlus";"Mid-range";"Mid-range";"No";"Medium";0
3;42;2;"Xiaomi";"UpperMid-range";"High-end";"Yes";"Low";1
3;42;3;"Xiaomi";"LowerMid-range";"Low";"Yes";"High";0
3;42;4;"Poco";"Budget";"LowerMid-range";"No";"High";0
3;43;1;"Poco";"Premium";"High-end";"Yes";"High";1
3;43;2;"Huawei";"Mid-range";"High-end";"No";"High";0
3;43;3;"OnePlus";"LowerMid-range";"Low";"Yes";"Low";0
3;43;4;"Poco";"Mid-range";"Mid-range";"No";"Low";0
3;44;1;"OnePlus";"LowerMid-range";"Mid-range";"Yes";"High";0
3;44;2;"Huawei";"LowerMid-range";"Low";"No";"High";1
3;44;3;"OnePlus";"LowerMid-range";"LowerMid-range";"Yes";"High";0
3;44;4;"Xiaomi";"Mid-range";"High-end";"Yes";"Low";0
3;45;1;"Huawei";"LowerMid-range";"Low";"No";"Medium";1
3;45;2;"Xiaomi";"Budget";"Low";"Yes";"Low";0
3;45;3;"Huawei";"LowerMid-range";"Mid-range";"Yes";"High";0
3;45;4;"Xiaomi";"Premium";"High-end";"No";"High";0
4;46;1;"OnePlus";"UpperMid-range";"High-end";"No";"Low";0
4;46;2;"Huawei";"UpperMid-range";"Low";"Yes";"Low";0
4;46;3;"OnePlus";"Premium";"Low";"Yes";"Low";0
4;46;4;"Xiaomi";"Mid-range";"LowerMid-range";"Yes";"Medium";1
4;47;1;"Poco";"Mid-range";"Mid-range";"No";"High";1
4;47;2;"Xiaomi";"UpperMid-range";"Low";"Yes";"Low";0
4;47;3;"Huawei";"Premium";"Low";"Yes";"High";0
4;47;4;"OnePlus";"Premium";"Low";"No";"Medium";0
4;48;1;"Poco";"Mid-range";"High-end";"Yes";"Medium";1
4;48;2;"Poco";"Mid-range";"LowerMid-range";"Yes";"Low";0
4;48;3;"Poco";"UpperMid-range";"Low";"Yes";"High";0
4;48;4;"Poco";"Mid-range";"LowerMid-range";"Yes";"High";0
4;49;1;"Xiaomi";"Budget";"High-end";"No";"Medium";0
4;49;2;"Xiaomi";"Premium";"High-end";"No";"Low";0
4;49;3;"OnePlus";"LowerMid-range";"Low";"Yes";"Medium";0
4;49;4;"Xiaomi";"LowerMid-range";"High-end";"Yes";"High";1
4;50;1;"Huawei";"Budget";"Low";"No";"Medium";0
4;50;2;"OnePlus";"Premium";"High-end";"No";"Low";0
4;50;3;"Huawei";"Mid-range";"High-end";"No";"Low";0
4;50;4;"Xiaomi";"Mid-range";"LowerMid-range";"Yes";"High";1
4;51;1;"OnePlus";"Budget";"Mid-range";"Yes";"Medium";0
4;51;2;"Poco";"UpperMid-range";"LowerMid-range";"No";"Low";0
4;51;3;"Xiaomi";"Premium";"Mid-range";"No";"High";0
4;51;4;"Poco";"Mid-range";"Mid-range";"No";"Medium";1
4;52;1;"OnePlus";"Mid-range";"Low";"No";"Medium";1
4;52;2;"Huawei";"LowerMid-range";"High-end";"No";"High";0
4;52;3;"Xiaomi";"Budget";"High-end";"Yes";"Medium";0
4;52;4;"OnePlus";"UpperMid-range";"LowerMid-range";"No";"Medium";0
4;53;1;"OnePlus";"LowerMid-range";"LowerMid-range";"No";"Low";1
4;53;2;"OnePlus";"UpperMid-range";"Low";"Yes";"Low";0
4;53;3;"Huawei";"UpperMid-range";"High-end";"No";"Medium";0
4;53;4;"Xiaomi";"UpperMid-range";"Low";"No";"High";0
4;54;1;"Xiaomi";"Budget";"Low";"No";"High";1
4;54;2;"Huawei";"Budget";"Low";"Yes";"Low";0
4;54;3;"Xiaomi";"Budget";"Low";"No";"Low";0
4;54;4;"Xiaomi";"LowerMid-range";"LowerMid-range";"No";"High";0
4;55;1;"OnePlus";"Mid-range";"LowerMid-range";"No";"Medium";0
4;55;2;"OnePlus";"Mid-range";"LowerMid-range";"No";"Low";1
4;55;3;"Xiaomi";"UpperMid-range";"Low";"Yes";"Medium";0
4;55;4;"Huawei";"LowerMid-range";"LowerMid-range";"No";"Low";0
4;56;1;"Huawei";"UpperMid-range";"Low";"No";"Low";0
4;56;2;"OnePlus";"Budget";"Low";"No";"High";1
4;56;3;"Poco";"UpperMid-range";"High-end";"Yes";"Medium";0
4;56;4;"Xiaomi";"Premium";"Low";"No";"Low";0
4;57;1;"Huawei";"Budget";"Mid-range";"Yes";"Medium";1
4;57;2;"OnePlus";"Premium";"LowerMid-range";"Yes";"High";0
4;57;3;"OnePlus";"UpperMid-range";"High-end";"No";"Medium";0
4;57;4;"Poco";"LowerMid-range";"LowerMid-range";"No";"Medium";0
4;58;1;"Huawei";"Budget";"LowerMid-range";"Yes";"High";0
4;58;2;"Huawei";"Mid-range";"LowerMid-range";"Yes";"High";0
4;58;3;"Huawei";"UpperMid-range";"Mid-range";"Yes";"Medium";1
4;58;4;"Xiaomi";"LowerMid-range";"LowerMid-range";"Yes";"Low";0
4;59;1;"Poco";"UpperMid-range";"Mid-range";"No";"High";0
4;59;2;"Huawei";"Premium";"High-end";"No";"High";0
4;59;3;"Xiaomi";"Premium";"Mid-range";"No";"Medium";0
4;59;4;"Poco";"UpperMid-range";"High-end";"No";"Medium";1
4;60;1;"Poco";"Mid-range";"High-end";"Yes";"High";1
4;60;2;"OnePlus";"Budget";"LowerMid-range";"No";"Low";0
4;60;3;"Poco";"UpperMid-range";"Mid-range";"Yes";"Low";0
4;60;4;"Xiaomi";"Premium";"High-end";"No";"High";0
5;61;1;"Huawei";"Mid-range";"High-end";"No";"High";0
5;61;2;"OnePlus";"UpperMid-range";"Mid-range";"No";"Medium";0
5;61;3;"OnePlus";"Budget";"Low";"Yes";"Low";1
5;61;4;"Poco";"UpperMid-range";"LowerMid-range";"No";"Medium";0
5;62;1;"OnePlus";"Premium";"Mid-range";"No";"Medium";0
5;62;2;"OnePlus";"LowerMid-range";"High-end";"No";"Medium";0
5;62;3;"Poco";"UpperMid-range";"High-end";"Yes";"High";0
5;62;4;"Huawei";"LowerMid-range";"High-end";"No";"Medium";1
5;63;1;"Xiaomi";"Budget";"LowerMid-range";"No";"High";0
5;63;2;"OnePlus";"Premium";"Mid-range";"No";"High";1
5;63;3;"OnePlus";"UpperMid-range";"Low";"Yes";"Low";0
5;63;4;"OnePlus";"Premium";"Low";"No";"High";0
5;64;1;"Huawei";"Premium";"Mid-range";"No";"High";0
5;64;2;"OnePlus";"Budget";"LowerMid-range";"No";"Medium";1
5;64;3;"Huawei";"UpperMid-range";"LowerMid-range";"Yes";"Low";0
5;64;4;"OnePlus";"Mid-range";"LowerMid-range";"No";"Low";0
5;65;1;"OnePlus";"Budget";"High-end";"No";"High";1
5;65;2;"OnePlus";"LowerMid-range";"LowerMid-range";"No";"High";0
5;65;3;"Huawei";"Budget";"Low";"No";"Medium";0
5;65;4;"Huawei";"UpperMid-range";"LowerMid-range";"No";"High";0
5;66;1;"Xiaomi";"Premium";"High-end";"Yes";"Medium";0
5;66;2;"Huawei";"Mid-range";"Low";"Yes";"High";0
5;66;3;"Xiaomi";"Premium";"Low";"Yes";"Low";0
5;66;4;"Huawei";"Premium";"Mid-range";"No";"Low";1
5;67;1;"Poco";"LowerMid-range";"LowerMid-range";"Yes";"High";0
5;67;2;"Xiaomi";"LowerMid-range";"LowerMid-range";"No";"Low";1
5;67;3;"Huawei";"Mid-range";"Mid-range";"Yes";"Medium";0
5;67;4;"Poco";"UpperMid-range";"High-end";"Yes";"Low";0
5;68;1;"Poco";"Budget";"Mid-range";"Yes";"Medium";1
5;68;2;"Poco";"LowerMid-range";"High-end";"Yes";"Medium";0
5;68;3;"Poco";"Premium";"Low";"Yes";"Medium";0
5;68;4;"Poco";"Budget";"Low";"Yes";"High";0
5;69;1;"Poco";"UpperMid-range";"Low";"No";"Low";0
5;69;2;"Poco";"Mid-range";"High-end";"No";"Low";0
5;69;3;"Huawei";"Mid-range";"Low";"Yes";"Low";0
5;69;4;"OnePlus";"Premium";"Mid-range";"Yes";"Medium";1
5;70;1;"Huawei";"Budget";"Low";"No";"Low";0
5;70;2;"Poco";"Mid-range";"Low";"Yes";"High";0
5;70;3;"OnePlus";"Budget";"LowerMid-range";"No";"Low";0
5;70;4;"Poco";"LowerMid-range";"High-end";"No";"Medium";1
5;71;1;"Poco";"Premium";"Mid-range";"Yes";"Medium";1
5;71;2;"Poco";"UpperMid-range";"LowerMid-range";"Yes";"Medium";0
5;71;3;"OnePlus";"Mid-range";"High-end";"No";"High";0
5;71;4;"Xiaomi";"LowerMid-range";"LowerMid-range";"No";"Medium";0
5;72;1;"Poco";"Budget";"Low";"No";"Medium";1
5;72;2;"Xiaomi";"Mid-range";"Mid-range";"No";"Medium";0
